Review Text,Rating,Location
I'm using Denver Hamilton Series from 2011. But the Imperial one i never tried before. The green one is musky and smells like fresh cut grass (which could be the clone of Creed Green Irish tweed that costs around 30k) The white one is beautiful floral and powdery/creamy also has sandalwood in base which gives it a good projection. Both are long lasting but Imperial one is suitable for Hot summer while green one is suitable for fall/Rainy days and winters but in summer it is also wearable.Als...READ MORE,5,"Certified Buyer, Mangaldoi"
its smell is too good means mind blowing 👌👌READ MORE,4,"Certified Buyer, Jabalpur"
Osm productREAD MORE,4,"Certified Buyer, Mauganj"
Awesome body sprayREAD MORE,5,"Certified Buyer, Dausa"
Wow... Best Deo especially the green one. I use Deo on dress and not on body as it may create some skin problems. All other deos stay for about 30 mins to one hour on dress whereas Denver gives good fragnance for almost 10 to 12 hours. Love this product.READ MORE,5,"Certified Buyer, Chennai"
GoodREAD MORE,5,"Certified Buyer, Bankura"
Both are perfect and differentWhite one has a sweet smell and is perfect for school or collegethe green one is little strong than white i liked it and got many compliments it's perfect for parties and you will stand out and people will definitely noticeREAD MORE,5,"Certified Buyer, Zirakpur"
Osm productsREAD MORE,5,"Certified Buyer, Udaipur"
super low price best  itemREAD MORE,5,"Certified Buyer, Bellampalle"
nice deo.. good fragrance. the white 1 is quite good. last upto 8hrs.got the combo at 312- 200ml each . so worth a buy.READ MORE,5,"Certified Buyer, Hyderabad"
